,band,count,flag
698,GOOD BYE APRIL,28.0,1.0
699,★ご入場の際は身分証明書の提示をお願い致します。,28.0,-1.0
700,月傘メロディ,28.0,1.0
701,blaudrops,28.0,1.0
702,加藤良太,28.0,0.0
703,BeriBeri,28.0,0.0
704,ENDZWECK,28.0,1.0
705,水の中で雨中,28.0,1.0
706,the highest,28.0,0.0
707,シャー クニャークス,28.0,1.0
708,竹原ピストル,28.0,1.0
709,竹本健一,28.0,1.0
710,save the last dance for me,28.0,0.0
711,滝山レトロ,28.0,1.0
712,HINTO,28.0,1.0
713,笹口騒音ハーモニカ,28.0,1.0
714,NOMANIGHT☆FOOD,28.0,-1.0
715,JONTE,28.0,1.0
716,Mrs.WiENER,28.0,1.0
717,Emily likes tennis,28.0,1.0
718,Droog,28.0,1.0
719,SAMURAI JACK UNIVERSE,28.0,1.0
720,Food,28.0,-1.0
721,Bentham,28.0,1.0
722,forestribe,28.0,1.0
723,YDOでんじゃらす弾き語り,28.0,1.0
724,タマル,28.0,0.0
725,JIMMY,28.0,0.0
726,ドンガンボン,28.0,1.0
727,BAND A,28.0,1.0
728,上村昌也,28.0,1.0
729,MIRROR,28.0,0.0
730,rem time rem time,28.0,1.0
731,airbag,28.0,0.0
732,静かの海,28.0,0.0
733,キャラメルパンチ,27.0,1.0
734,butter butter,27.0,1.0
735,Emiko Bleu,27.0,1.0
736,ドラマ待チ,27.0,1.0
737,It turns a moment,27.0,0.0
738,the waruinamida,27.0,1.0
739,CRAZY WEST MOUNTAIN,27.0,1.0
740,住所不定無職,27.0,1.0
741,ERRY＆SDR pre.,27.0,-1.0
742,坂口みと,27.0,1.0
743,齊藤ジョニー,27.0,1.0
744,canna,27.0,1.0
745,死んじゃうじゃんか,27.0,1.0
746,UNLIMITS,27.0,1.0
747,川崎レオン,27.0,1.0
748,ランランランズ,27.0,1.0
749,曖昧クラムジー,27.0,0.0
750,skillkills,27.0,1.0
751,全日本プレス加工,27.0,1.0
752,サブステージ,27.0,0.0
753,インパスターズ,27.0,1.0
754,UKO,27.0,1.0
755,NEW FRONT SPARK,27.0,1.0
756,夕焼けアフロ,27.0,1.0
757,the butterfly nine cord,27.0,1.0
758,The Flickers,27.0,1.0
759,dominoline,27.0,1.0
760,VERONICA VERONICO,27.0,1.0
761,GROOMY,27.0,1.0
762,ササキ,27.0,0.0
763,the Lucy,27.0,1.0
764,ジムシー,27.0,0.0
765,ELECTRIC LUNCH,27.0,1.0
766,HALATION,27.0,0.0
767,あや,27.0,-1.0
768,Burbary Girl,27.0,0.0
769,YORU音楽祭特典あり,27.0,-1.0
770,ircle,27.0,1.0
771,ごっこ,27.0,0.0
772,グッバイフジヤマ,27.0,1.0
773,The NICE,27.0,0.0
774,ビーチ・バージョン,27.0,1.0
775,The Beautifuls,27.0,1.0
776,cigarette in your bed,27.0,1.0
777,冷たい指輪,27.0,1.0
778,LARK,27.0,0.0
779,Fredelica,27.0,1.0
780,BUMBUMS,27.0,1.0
781,リーガルリリー,27.0,1.0
